ID,N_VICTIMAS,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,LONGITUD,LATITUD,VICTIMA,ACUSADO,FECHA_Y_HORA,FATAL
1248,1,CHORROARIN Y AV. SAN MARTIN,AVENIDA,15,-58.47883099,-34.59967065,AUTO,CAMION,2017-10-27 05:30:00,True
1249,1,COSQUIN Y AV. CNEL. ROCA,AVENIDA,8,-58.46552171,-34.69374130,MOTO,PEATON,2017-10-30 14:00:00,True
1250,1,AV. CNEL. ROCA 3555,AVENIDA,8,-58.44239720,-34.66777987,PEATON,PEATON,2017-11-06 18:00:00,True
1251,1,AV. WARNES Y PUNTA ARENAS,AVENIDA,15,-58.47032551,-34.59626814,MOTO,CAMION,2017-11-07 12:14:10,True
1252,1,DEL BARCO CENTENERA Y RABANAL,AVENIDA,4,-58.41827843,-34.65522746,PEATON,PEATON,2017-11-16 08:43:00,True
1253,1,AV. GRAL. ENRIQUE MOSCONI Y SAN NICOLAS,AVENIDA,11,-58.51280715,-34.59279388,PEATON,CAMION,2017-11-17 11:45:00,True
1254,1,AV. LAFUENTE Y AV. EVA PERON,AVENIDA,7,-58.46258582,-34.64385704,MOTO,OBJETO FIJO,2017-11-19 10:30:00,True
1255,1,AV. CNEL. ROCA Y AV. ESCALADA,AVENIDA,8,-58.45064148,-34.68003614,AUTO,OBJETO FIJO,2017-11-19 22:30:00,True
1256,1,AU ARTURO FRONDIZI PKM 3100,AUTOPISTA,4,-58.41827843,-34.65522746,MOTO,PEATON,2017-11-19 23:22:17,True
1257,1,AV. LA PLATA Y AV. PEDRO GOYENA,AVENIDA,6,-58.42717783,-34.62513374,PEATON,PEATON,2017-11-23 19:45:00,True
1258,1,TRELLES Y GRAL. CESAR DIAZ,CALLE,11,-58.46442001,-34.60724519,AUTO,PEATON,2017-11-25 21:45:00,True
1259,1,AV. CNEL. ROCA Y COLECTORA AV. GRAL. PAZ,AUTOPISTA,8,-58.47064556,-34.69843756,AUTO,OBJETO FIJO,2017-11-26 06:45:00,True
1260,1,MAZA Y DON BOSCO,CALLE,5,-58.41677733,-34.61223119,MOTO,AUTO,2017-11-26 17:05:00,True
1261,1,AV. GRAL. PAZ Y AV. EVA PERON,AUTOPISTA,9,-58.50251790,-34.67450313,MOTO,AUTO,2017-11-28 11:15:00,True
1262,1,AV. SAN JUAN Y LA RIOJA,AVENIDA,3,-58.40708125,-34.62438894,PEATON,PEATON,2017-11-29 10:45:00,True
1263,1,AV. PASEO COLON Y MEXICO,AVENIDA,1,-58.36947198,-34.61477051,PEATON,PEATON,2017-11-30 12:20:00,True
1264,1,AV. RIVADAVIA Y MIRALLA,AVENIDA,9,-58.51140889,-34.63934531,PEATON,AUTO,2017-12-04 01:15:00,True
1265,1,VIEYTES Y LUJAN,CALLE,4,-58.37460912,-34.65559133,PEATON,PEATON,2017-12-04 02:15:00,True
1266,1,CACHI Y TRAFUL,CALLE,4,-58.41146277,-34.65073916,CICLISTA,PEATON,2017-12-06 17:30:00,True
1267,2,ROSARIO Y AV. LA PLATA,AVENIDA,6,-58.42855267,-34.61829385,MOTO,PEATON,2017-12-11 02:00:00,True
1268,1,AV. ENTRE RIOS Y AV. CASEROS ,AVENIDA,4,-58.39035581,-34.63412287,PEATON,PEATON,2017-12-11 09:15:00,True
1269,1,AV. RIVADAVIA 6350,AVENIDA,7,-58.45593915,-34.62656868,SD,MOTO,2017-12-12 21:25:41,True
1270,1,AV. GRAL. PAZ Y HUMAITA,AUTOPISTA,9,-58.52866211,-34.64597065,AUTO,PEATON,2017-12-17 09:02:00,True
1271,1,GUALEGUAYCHU Y COLECTORA AV. GRAL PAZ,AUTOPISTA,11,-58.52037476,-34.59407024,MOTO,AUTO,2017-12-18 21:30:00,True
1272,1,AV. INDEPENDENCIA Y VIRREY CEVALLOS,AVENIDA,1,-58.38896772,-34.61799615,MOTO,AUTO,2017-12-20 04:31:27,True
1273,1,AV. NAZCA 365,AVENIDA,7,-58.47074114,-34.62771756,PEATON,MOTO,2017-12-22 13:15:00,True
1274,1,AV. EVA PERON 5249,AVENIDA,9,-58.48200819,-34.65969965,PEATON,AUTO,2017-12-26 15:30:00,True
1275,1,San Juan Av. Y Rincón,AVENIDA,3,-58.39536773,-34.62297346,PEATON,MOTO,2018-01-01 22:50:00,True
1276,1,Peru 937,CALLE,1,-58.37456088,-34.61895467,CICLISTA,PEATON,2018-01-03 16:40:00,True
1277,1,"Pueyrredon, Honorio, Dr. Av. y Galicia",AVENIDA,15,-58.44860217,-34.60395657,PEATON,SD,2018-01-05 10:12:00,True
1278,1,Del Libertador Av. y Manzanares,AVENIDA,13,-58.46129513,-34.54332766,MOTO,SD,2018-01-09 09:40:00,True
1279,1,Paseo Colon Av. 1019,AVENIDA,1,-58.36907201,-34.61953517,PEATON,PEATON,2018-01-09 22:30:00,True
1280,1,Valle y Barco Centenera Del,CALLE,6,-58.44062219,-34.62499107,CICLISTA,PEATON,2018-01-10 21:15:00,True
1281,1,AU Perito Moreno  KM 0.6,AUTOPISTA,9,-58.52502765,-34.63601265,AUTO,AUTO,2018-01-11 02:30:00,True
1282,1,"Huergo, Ing. Av. e Independencia Av.",AVENIDA,1,-58.36659655,-34.61687778,MOTO,CAMION,2018-01-12 17:50:00,True
1283,1,"Pilcomayo y Brown, Alte. Av.",AVENIDA,4,-58.36737389,-34.62763661,MOTO,MOTO,2018-01-14 02:00:00,True
1284,1,"Cervantes y Belaustegui, Luis, Dr.",CALLE,10,-58.49807953,-34.63038658,MOTO,CAMION,2018-01-18 05:10:00,True
1285,1,Callao y Vte. Lopez,AVENIDA,2,-58.39092703,-34.59088447,PEATON,PEATON,2018-01-19 10:30:00,True
1286,1,"Oliden y Chilavert, Martiniano, Coronel",CALLE,8,-58.46912006,-34.68049201,MOTO,PEATON,2018-01-26 13:30:00,True
1287,1,Congreso Av. y Galvan,AVENIDA,12,-58.48661286,-34.56786129,MOTO,AUTO,2018-01-28 08:15:00,True
1288,1,"Moreno, Perito Av. y Rivera Indarte",AVENIDA,7,-58.44074927,-34.65080597,PEATON,MOTO,2018-01-31 20:00:00,True
1289,2,Australia Av. 2800,AVENIDA,4,-58.38636298,-34.64684275,MOTO,PEATON,2018-02-06 01:00:00,True
1290,1,"Del Libertador Av. y Ramos Mejia, Jose Maria, Dr. Av.",AVENIDA,1,-58.37533517,-34.59276462,MOTO,CAMION,2018-02-15 10:15:00,True
1291,1,San Pedrito Av. y Rivadavia Av.,AVENIDA,7,-58.46963952,-34.63070603,PEATON,AUTO,2018-02-17 04:15:00,True
1292,1,"Isabel La Catolica y Salvadores, Cnel.",CALLE,4,-58.37207554,-34.64543658,MOTO,CAMION,2018-02-17 07:15:00,True
1293,1,Las Heras General Av. y Callao Av.,AVENIDA,2,-58.39189441,-34.59176378,PEATON,PEATON,2018-02-17 12:30:00,True
1294,1,Fernandez de la Cruz Subida AU Héctor J. Cámpora,AUTOPISTA,8,-58.45012957,-34.66518343,MOTO,CAMION,2018-02-19 22:00:00,True
1295,1,AMANCIO ALCORTA Y ZAVALETA,AVENIDA,4,-58.40184094,-34.64546845,PEATON,PEATON,2018-02-22 10:45:00,True
1296,1,"Montes De Oca, Manuel y Olavarria",AVENIDA,4,-58.37441153,-34.63966783,MOTO,CAMION,2018-02-24 00:00:00,True
1297,1,Barco Centenera Del y Rosario,CALLE,6,-58.44110156,-34.62082399,MOTO,AUTO,2018-02-24 06:00:00,True
1298,1,Alvarez Thomas Av. y Donado,AVENIDA,15,-58.47087351,-34.57827342,PEATON,CAMION,2018-02-28 23:00:00,True
1299,1,Av. Avellaneda y Av. Boyacá,AVENIDA,7,-58.45962210,-34.62245140,PEATON,AUTO,2018-03-04 22:30:00,True
1300,2,"Rabanal, Francisco, Intendente Av. y Saenz Av.",AVENIDA,4,-58.41657793,-34.65476216,AUTO,CAMION,2018-03-09 04:45:00,True
1301,1,Castro y Rondeau,CALLE,5,-58.41911301,-34.63722107,PEATON,MOTO,2018-03-11 23:00:00,True
1302,1,"Bilbao, Francisco Av. y Azul",AVENIDA,9,-58.47120586,-34.64251042,PEATON,CAMION,2018-03-13 15:45:00,True
1303,1,Nazca Av. y Gaona Av.,AVENIDA,11,-58.47418944,-34.62049672,MOTO,AUTO,2018-03-15 18:00:00,True
1304,1,Plaza y Alvarez Thomas Av.,AVENIDA,15,-58.46720441,-34.57905579,MOTO,MOTO,2018-03-20 01:30:00,True
1305,1,"Gaona Av. y Artigas, Jose Gervasio, Gral.",AVENIDA,11,-58.46909362,-34.61779710,MOTO,CAMION,2018-03-28 10:15:00,True
1306,1,Cabildo Av. y Aguilar,AVENIDA,13,-58.44704343,-34.56888640,PEATON,PEATON,2018-04-02 13:00:00,True
1307,1,Camarones y Lope De Vega Av.,AVENIDA,10,-58.50535541,-34.62902048,MOTO,CAMION,2018-04-07 07:30:00,True
1308,1,Santa Fe Av. 2320,AVENIDA,2,-58.40021675,-34.59522198,PEATON,PEATON,2018-04-11 18:15:00,True
1309,1,Av. Rivadavia 6950,AVENIDA,7,-58.46325991,-34.62919627,PEATON,PEATON,2018-04-12 16:45:00,True
1310,1,Av. San Martín y Argerich,AVENIDA,15,-58.49471482,-34.59694755,MOTO,AUTO,2018-04-13 23:15:00,True
1311,1,"Cordoba Av. y Uriburu Jose E., Pres.",AVENIDA,2,-58.39872610,-34.59975962,PEATON,CAMION,2018-04-18 18:45:00,True
1312,2,AV. RIVADAVIA 1571,AVENIDA,1,-58.38872177,-34.60885045,PEATON,AUTO,2018-04-20 17:10:00,True
1313,1,AUTOPISTA LUGONES KM 4.7,AUTOPISTA,14,-58.39811256,-34.58070186,PEATON,AUTO,2018-04-21 22:15:00,True
1314,1,Ramon Freire y Virrey Olaguer y Feliu,CALLE,13,-58.45686132,-34.57305993,PEATON,CAMION,2018-04-27 11:00:00,True
1315,1,"La Plata Av. y Fernandez De La Cruz, F., Gral. Av.",AVENIDA,4,-58.42281627,-34.64282424,PEATON,PEATON,2018-04-27 13:30:00,True
1316,1,BRANDSEN y PERDRIEL,CALLE,4,-58.38666024,-34.63953396,MOTO,CAMION,2018-04-27 18:43:00,True
1317,1,"Vilardebo, Teodoro y Alvarez Jonte Av.",AVENIDA,11,-58.49122843,-34.61207587,MOTO,AUTO,2018-04-28 06:30:00,True
1318,1,Alberti e Independencia Av.,AVENIDA,3,-58.40098306,-34.61866627,PEATON,AUTO,2018-04-28 09:00:00,True
