,ID,N_VICTIMAS,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,LONGITUD,LATITUD,VICTIMA,ACUSADO,FECHA_Y_HORA,FATAL
20356,21663,1,"PAZ, GRAL. AV. y ALBERDI, JUAN BAUTISTA AV.",AUTOPISTA,9,-58.518399307019,-34.662524884133,MOTO,PEATON,2021-06-25 19:27:00,False
20357,21664,1,"LUGONES, LEOPOLDO AV. y DORREGO AV.",AVENIDA,14,-58.416801253224,-34.562340848352,MOTO,AUTO,2021-06-25 17:00:00,False
20358,21665,1,CHACABUCO y CHILE,CALLE,1,-58.375980025247,-34.616219075699,AUTO,AUTO,2021-06-25 23:10:00,False
20359,21666,1,SD,CALLE,SD,-58.397231443815,-34.61273278163,MOTO,AUTO,2021-06-25 23:17:00,False
20360,21667,2,BULNES 133,CALLE,5,-58.418482862383,-34.609246487561,MOTO,MOTO,2021-06-25 23:05:00,False
20362,21669,1,"DE LA TORRE, LISANDRO y ALBERDI, JUAN BAUTISTA AV.",CALLE,9,-58.507923613066,-34.656090077734,MOTO,AUTO,2021-06-25 13:30:00,False
20363,21670,1,ASAMBLEA AV. 623,AVENIDA,7,-58.43460310469,-34.634208880052,PEATON,AUTO,2021-06-25 11:20:00,False
20365,21672,1,"GALVAN y BALBIN, RICARDO, DR. AV.",CALLE,12,-58.495679493236,-34.555300606022,MOTO,AUTO,2021-06-26 07:30:00,False
20366,21673,1,"OLAGUER Y FELIU, VIRREY 2628",CALLE,13,-58.453255916391,-34.568704284874,PEATON,AUTO,2021-06-26 10:30:00,False
20367,21674,1,LA PLATA AV. 1700,AVENIDA,5,-58.424420165454,-34.635581714091,MOTO,AUTO,2021-06-26 13:30:00,False
20368,21675,1,GAONA AV. y SEGUROLA AV.,AVENIDA,10,-58.490220727319,-34.627701928561,PEATON,AUTO,2021-06-26 17:00:00,False
20369,21676,1,DEL LIBERTADOR AV. y RODRIGUEZ PEÃ‘A,AVENIDA,2,-58.385028782426,-34.587034850969,MOTO,AUTO,2021-06-26 16:30:00,False
20370,21677,1,DIRECTORIO AV. 1617,AVENIDA,6,-58.449788893859,-34.630192167191,MOTO,AUTO,2021-06-26 21:50:00,False
20371,21678,1,SANTA FE AV. y JUNIN,AVENIDA,2,-58.397373606482,-34.595559047148,MOTO,AUTO,2021-06-26 21:10:00,False
20372,21679,1,MAURE y CHARLONE,CALLE,15,-58.450287386618,-34.583346654786,CICLISTA,AUTO,2021-06-26 23:08:00,True
20373,21680,1,GASCON y ROCAMORA,CALLE,5,-58.423575094551,-34.599115657349,MOTO,PEATON,2021-06-26 23:30:00,False
20374,21681,1,SALTA e INDEPENDENCIA AV.,CALLE,1,-58.383017688006,-34.617733294945,MOTO,AUTO,2021-06-26 23:30:00,False
20375,21682,1,MORENO 2800,CALLE,3,-58.405240774724,-34.613602685692,TRANSPORTE_PUBLICO,TRANSPORTE_PUBLICO,2021-06-26 22:45:00,False
20378,21685,3,"PAZ, GRAL. AV. y LOS ROBLES",AUTOPISTA,8,-58.488679948315,-34.683773853459,AUTO,AUTO,2021-06-27 00:10:00,False
20379,21686,2,SAN JUAN AV. y BOEDO AV.,AVENIDA,5,-58.416101386509,-34.625436235603,MOTO,AUTO,2021-06-27 07:40:00,False
20381,21688,1,"PAZ, GRAL. AV. y HUGO, VICTOR",AUTOPISTA,10,-58.531070946567,-34.614655568553,TRANSPORTE_PUBLICO,PEATON,2021-06-27 09:30:00,False
20382,21689,2,RUIZ DE LOS LLANOS y LASCANO,CALLE,10,-58.517482720792,-34.628463859399,AUTO,AUTO,2021-06-27 11:05:00,False
20383,21690,3,SANTANDER 2100,CALLE,7,-58.447940662164,-34.639875616715,AUTO,OBJETO FIJO,2021-06-27 14:50:00,True
20384,21691,1,PASEO COLON AV. y SAN JUAN AV.,AVENIDA,1,-58.36831532426,-34.621686301429,TRANSPORTE_PUBLICO,TRANSPORTE_PUBLICO,2021-06-27 16:30:00,False
20385,21692,1,RIVADAVIA AV. y OLIDEN,AVENIDA,9,-58.517409823784,-34.639136179642,MOTO,AUTO,2021-06-27 20:00:00,False
20387,21694,1,"SAN MARTIN AV. y TRELLES, MANUEL R.",AVENIDA,15,-58.467334188862,-34.602249147493,MOTO,AUTO,2021-06-27 21:00:00,False
20388,21695,1,"CERVANTES y GONZALEZ, ELPIDIO",CALLE,10,-58.505767986604,-34.624458033638,AUTO,AUTO,2021-06-27 13:30:00,False
20389,21696,1,PASEO COLON AV. e INDEPENDENCIA AV.,AVENIDA,1,-58.36980170839,-34.617164579149,MOTO,AUTO,2021-06-28 05:14:00,False
20390,21697,1,COMBATE DE LOS POZOS y PAVON,CALLE,3,-58.392310006723,-34.626453946358,MOTO,AUTO,2021-06-28 09:30:00,False
20392,21699,1,"GOYENA, PEDRO AV. 330",AVENIDA,6,-58.431804427131,-34.625794672692,MOTO,PEATON,2021-06-28 13:09:00,False
20393,21700,1,"URQUIZA, GRAL. 1211",CALLE,3,-58.409074548312,-34.624801776589,PEATON,AUTO,2021-06-28 10:00:00,False
20395,21702,3,"CHUTRO, PEDRO, PROF., DR. y ALMAFUERTE AV.",AVENIDA,4,-58.413053235623,-34.642581101705,AUTO,TRANSPORTE_PUBLICO,2021-06-28 13:20:00,False
